iter	Passed	Remaining
166	575	2870
167	577	2860
168	582	2864
169	584	2853
170	586	2841
171	587	2829
172	589	2818
173	591	2808
174	593	2797
175	597	2795
176	599	2787
177	601	2776
178	602	2764
179	604	2752
180	604	2737
181	606	2725
182	611	2729
183	613	2718
184	614	2707
185	616	2697
186	617	2685
187	619	2674
188	621	2666
189	625	2665
190	626	2654
191	628	2643
192	629	2632
193	631	2621
194	632	2610
195	633	2600
196	637	2597
197	639	2591
198	641	2581
199	642	2571
200	644	2561
201	645	2551
202	647	2541
203	648	2531
204	650	2523
205	653	2518
206	654	2508
207	656	2499
208	657	2490
209	659	2481
210	660	2471
211	662	2462
212	663	2453
213	667	2450
214	668	2440
215	669	2431
216	671	2422
217	672	2413
218	674	2404
219	675	2395
220	677	2386
221	678	2377
222	682	2376
223	683	2367
224	684	2359
225	686	2350
226	687	2342
227	689	2333
228	690	2325
229	692	2316
230	693	2308
231	696	2305
232	697	2297
233	699	2289
234	700	2281
235	702	2273
236	703	2265
237	705	2257
238	706	2249
239	707	2241
240	710	2238
241	712	2230
242	713	2222
243	714	2215
244	716	2207
245	717	2200
246	719	2192
247	720	2185
248	722	2178
249	726	2180
250	728	2173
251	729	2165
252	731	2158
253	732	2151
254	733	2144
255	735	2137
256	736	2130
257	738	2123
258	741	2120
259	742	2113
260	743	2106
261	745	2099
262	746	2092
263	748	2086
264	749	2079
265	751	2073
266	752	2067
267	755	2064
268	757	2057
269	758	2050
270	760	2044
271	761	2038
272	762	2031
273	764	2025
274	766	2019
275	768	2015
276	770	2011
277	772	2007
278	774	2002
279	777	1998
280	779	1993
281	780	1987
282	783	1984
283	784	1978
284	786	1972
285	787	1966
286	788	1960
287	790	1954
288	792	1948
289	793	1942
290	794	1936
291	797	1933
292	799	1928
293	800	1922
294	802	1917
295	803	1911
296	805	1905
297	806	1900
298	808	1894
299	809	1889
300	813	1888
301	814	1883
302	816	1877
303	817	1872
304	819	1867
305	821	1862
306	822	1857
307	824	1852
308	827	1851
309	829	1846
310	831	1841
311	832	1836
312	834	1831
313	835	1826
314	837	1822
315	839	1817
316	843	1816
317	844	1811
318	846	1806
319	847	1801
320	849	1796
321	850	1791
322	852	1786
323	854	1782
324	857	1780
325	859	1776
326	860	1771
327	862	1766
328	863	1761
329	865	1757
330	867	1753
331	868	1748
332	870	1744
333	872	1739
334	874	1735
335	875	1730
336	877	1726
337	879	1721
338	880	1717
339	882	1712
340	883	1708
341	886	1706
342	888	1701
343	889	1697
344	891	1692
345	893	1687
346	894	1683
347	896	1678
348	897	1674
349	899	1669
350	901	1667
351	904	1665
352	906	1661
353	908	1657
354	910	1653
355	911	1649
356	916	1649
357	918	1646
358	920	1643
359	922	1639
360	924	1635
361	926	1632
362	929	1631
363	931	1627
364	933	1623
365	934	1619
366	936	1615
367	938	1611
368	941	1609
369	944	1608
370	946	1605
371	948	1601
372	950	1598
373	952	1594
374	954	1590
375	956	1586
376	959	1584
377	963	1585
378	965	1582
379	967	1578
380	969	1575
381	972	1573
382	975	1571
383	980	1572
384	988	1579
385	995	1583
386	1003	1589
387	1006	1586
388	1013	1592
389	1020	1595
390	1023	1594
391	1026	1592
392	1030	1590
393	1035	1593
394	1038	1590
395	1041	1588
396	1044	1585
397	1051	1591
398	1054	1588
399	1058	1588
400	1064	1589
401	1069	1590
402	1072	1588
403	1074	1585
404	1079	1585
405	1081	1581
406	1083	1578
407	1085	1575
408	1087	1572
409	1091	1570
410	1095	1570
411	1099	1568
412	1101	1566
413	1104	1563
414	1106	1560
415	1111	1560
416	1113	1557
417	1116	1554
418	1120	1554
419	1126	1555
420	1128	1552
421	1130	1549
422	1134	1547
423	1137	1545
424	1143	1546
425	1151	1550
426	1153	1548
427	1157	1547
428	1160	1544
429	1162	1541
430	1165	1538
431	1167	1535
432	1171	1534
433	1174	1531
434	1177	1529
435	1180	1527
436	1183	1524
437	1187	1523
438	1190	1520
439	1194	1519
440	1196	1516
441	1198	1512
442	1201	1511
443	1204	1507
444	1206	1504
445	1208	1500
